CustomerKey,First Name,Last Name,Full Name,Gender,Test,DateFirstPurchase,Customer City
11000,Jon,Yang,Jon Yang,Male,M,2020-01-19,Rockhampton
11001,Eugene,Huang,Eugene Huang,Male,M,2020-01-15,Seaford
11002,Ruben,Torres,Ruben Torres,Male,M,2020-01-07,Hobart
11003,Christy,Zhu,Christy Zhu,Female,F,2019-12-29,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,F,2020-01-23,Wollongong
11005,Julio,Ruiz,Julio Ruiz,Male,M,2019-12-30,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,Female,F,2020-01-24,Matraville
11007,Marco,Mehta,Marco Mehta,Male,M,2020-01-09,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,Female,F,2020-01-25,Bendigo
11009,Shannon,Carlson,Shannon Carlson,Male,M,2020-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,F,2020-01-14,East Brisbane
11011,Curtis,Lu,Curtis Lu,Male,M,2019-12-30,East Brisbane
11012,Lauren,Walker,Lauren Walker,Female,F,2022-03-16,Bremerton
11013,Ian,Jenkins,Ian Jenkins,Male,M,2022-04-13,Lebanon
11014,Sydney,Bennett,Sydney Bennett,Female,F,2022-03-23,Redmond
11015,Chloe,Young,Chloe Young,Female,F,2022-01-18,Burbank
11016,Wyatt,Hill,Wyatt Hill,Male,M,2022-02-09,Imperial Beach
11017,Shannon,Wang,Shannon Wang,Female,F,2020-01-12,Sunbury
11018,Clarence,Rai,Clarence Rai,Male,M,2020-01-17,Bendigo
11019,Luke,Lal,Luke Lal,Male,M,2022-02-12,Langley
11020,Jordan,King,Jordan King,Male,M,2021-12-29,Metchosin
11021,Destiny,Wilson,Destiny Wilson,Female,F,2022-01-23,Beaverton
11022,Ethan,Zhang,Ethan Zhang,Male,M,2022-01-20,Bellingham
11023,Seth,Edwards,Seth Edwards,Male,M,2022-02-17,Bellflower
11024,Russell,Xie,Russell Xie,Male,M,2022-06-27,Concord
11025,Alejandro,Beck,Alejandro Beck,Male,M,2020-01-06,Hawthorne
11026,Harold,Sai,Harold Sai,Male,M,2020-01-23,Goulburn
11027,Jessie,Zhao,Jessie Zhao,Male,M,2020-01-16,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,Female,F,2020-01-26,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,Male,M,2020-01-19,Bendigo
11030,Bethany,Yuan,Bethany Yuan,Female,F,2020-02-05,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,Female,F,2020-02-01,Matraville
11032,Denise,Stone,Denise Stone,Female,F,2020-02-18,Melbourne
11033,Jaime,Nath,Jaime Nath,Male,M,2020-02-15,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,F,2020-02-01,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,Female,F,2020-02-06,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,Female,F,2022-01-22,National City
11037,Chloe,Garcia,Chloe Garcia,Female,F,2022-01-20,Cliffside
11038,Diana,Hernandez,Diana Hernandez,Female,F,2020-02-07,Lavender Bay
11039,Marc,Martin,Marc Martin,Male,M,2020-02-07,Wollongong
11040,Jesse,Murphy,Jesse Murphy,Male,M,2022-04-03,Tacoma
11041,Amanda,Carter,Amanda Carter,Female,F,2022-01-14,Glendale
11042,Megan,Sanchez,Megan Sanchez,Female,F,2022-01-21,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,Male,M,2022-05-08,Glendale
11044,Adam,Flores,Adam Flores,Male,M,2020-02-28,Hervey Bay
11045,Leonard,Nara,Leonard Nara,Male,M,2022-04-10,Matraville
11046,Christine,Yuan,Christine Yuan,Female,F,2020-02-06,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,Female,F,2020-02-03,Geelong
11048,Jeremy,Powell,Jeremy Powell,Male,M,2020-02-10,Sunbury
11049,Carol,Rai,Carol Rai,Female,F,2022-03-09,Chula Vista
11050,Alan,Zheng,Alan Zheng,Male,M,2020-02-20,Hobart
11051,Daniel,Johnson,Daniel Johnson,Male,M,2022-12-29,Caloundra
11052,Heidi,Lopez,Heidi Lopez,Female,F,2020-02-17,Matraville
11053,Ana,Price,Ana Price,Female,F,2022-01-17,San Diego
11054,Deanna,Munoz,Deanna Munoz,Female,F,2020-02-03,Geelong
11055,Gilbert,Raje,Gilbert Raje,Male,M,2020-01-31,East Brisbane
11056,Michele,Nath,Michele Nath,Female,F,2020-02-26,Newcastle
11057,Carl,Andersen,Carl Andersen,Male,M,2020-02-22,Lane Cove
11058,Marc,Diaz,Marc Diaz,Male,M,2020-03-09,Findon
11059,Ashlee,Andersen,Ashlee Andersen,Female,F,2022-02-18,Townsville
11060,Jon,Zhou,Jon Zhou,Male,M,2020-03-19,Warrnambool
11061,Todd,Gao,Todd Gao,Male,M,2020-03-13,Gold Coast
11062,Noah,Powell,Noah Powell,Male,M,2022-01-07,Portland
11063,Angela,Murphy,Angela Murphy,Female,F,2022-01-12,Redmond
11064,Chase,Reed,Chase Reed,Male,M,2022-01-25,Downey
11065,Jessica,Henderson,Jessica Henderson,Female,F,2022-02-10,La Jolla
11066,Grace,Butler,Grace Butler,Female,F,2022-05-31,Lebanon
11067,Caleb,Carter,Caleb Carter,Male,M,2022-08-18,Port Orchard
11068,Tiffany,Liang,Tiffany Liang,Female,F,2022-04-30,Warrnambool
11069,Carolyn,Navarro,Carolyn Navarro,Female,F,2020-04-17,Gold Coast
11070,Willie,Raji,Willie Raji,Male,M,2020-04-28,Sunbury
11071,Linda,Serrano,Linda Serrano,Female,F,2022-03-01,Hawthorne
11072,Casey,Luo,Casey Luo,Female,F,2020-03-31,St. Leonards
11073,Amy,Ye,Amy Ye,Female,F,2022-03-23,Springwood
11074,Levi,Arun,Levi Arun,Male,M,2022-03-23,Cloverdale
11075,Felicia,Jimenez,Felicia Jimenez,Female,F,2020-04-28,Bendigo
11076,Blake,Anderson,Blake Anderson,Male,M,2020-04-21,Wollongong
11077,Leah,Ye,Leah Ye,Female,F,2020-04-15,Melton
11078,Gina,Martin,Gina Martin,Female,F,2022-02-15,Cliffside
11079,Donald,Gonzalez,Donald Gonzalez,Male,M,2022-03-15,Geelong
11080,Damien,Chander,Damien Chander,Male,M,2020-04-10,Perth
11081,Savannah,Baker,Savannah Baker,Female,F,2022-02-12,Concord
11082,Angela,Butler,Angela Butler,Female,F,2022-01-22,Fremont
11083,Alyssa,Cox,Alyssa Cox,Female,F,2022-01-06,Lincoln Acres
11084,Lucas,Phillips,Lucas Phillips,Male,M,2022-01-04,Lebanon
11085,Emily,Johnson,Emily Johnson,Female,F,2022-12-06,Newport Beach
11086,Ryan,Brown,Ryan Brown,Male,M,2022-07-02,Santa Monica
11087,Tamara,Liang,Tamara Liang,Female,F,2022-02-25,Chula Vista
11088,Hunter,Davis,Hunter Davis,Male,M,2022-01-13,San Diego
11089,Abigail,Price,Abigail Price,Female,F,2021-12-29,Long Beach
11090,Trevor,Bryant,Trevor Bryant,Male,M,2020-08-07,Los Angeles
11091,Dalton,Perez,Dalton Perez,Male,M,2022-01-29,Haney
11092,Cheryl,Diaz,Cheryl Diaz,Female,F,2020-04-08,East Brisbane
11093,Aimee,He,Aimee He,Female,F,2020-04-07,Wollongong
